,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
2293,2293,F31709,180.0,E,4.0,2020-04-03 08:11:44.000,2020-04-03,2020-03-24 00:00:00,2020-04-18,,8326.52,0.0,0.0
2294,2294,F31710,8016.0,E,4.0,2020-04-03 09:34:34.000,2020-04-03,2020-04-03 00:00:00,2020-04-03,,560.0,0.0,0.0
2335,2335,F31751,8021.0,E,4.0,2020-04-27 11:29:08.000,2020-04-27,2020-04-27 00:00:00,2020-04-27,,560.0,0.0,0.0
2352,2352,F31768,8013.0,E,4.0,2020-04-28 12:32:35.000,2020-04-28,2020-04-01 00:00:00,2020-04-28,,690.0000000000001,0.0,0.0
2934,2934,F32350,1802.0,E,4.0,2020-07-27 11:11:30.000,2020-07-27,2020-07-27 00:00:00,2020-07-27,,73275.86200000001,0.0,0.0
2991,2991,F32407,8094.0,E,4.0,2020-07-31 08:26:09.000,2020-07-31,2020-07-27 00:00:00,2020-07-31,,45770.0,0.0,0.0
3069,3069,F32485,2624.0,E,4.0,2020-08-10 10:19:50.137,2020-08-10,2020-08-10 00:00:00,2020-08-10,,790.6819999999999,0.0,0.0
3076,3076,F32492,2624.0,E,4.0,2020-08-10 15:28:40.660,2020-08-10,2020-08-07 00:00:00,2020-08-10,,3296.0000000000005,0.0,0.0
3143,3143,F32559,8094.0,E,4.0,2020-08-18 10:17:55.970,2020-08-18,2020-08-14 00:00:00,2020-08-18,,1200.0,0.0,0.0
3174,3174,F32590,6946.0,E,4.0,2020-08-20 12:21:53.597,2020-08-20,2020-08-11 00:00:00,2020-08-20,,5642.000000000001,0.0,0.0
3183,3183,F32599,6849.0,E,4.0,2020-08-20 15:46:31.333,2020-08-20,2020-08-20 00:00:00,2020-08-20,,78.34920000000001,0.0,0.0
3410,3410,F32826,4486.0,E,4.0,2020-09-11 08:49:14.107,2020-09-11,2020-09-11 00:00:00,2020-09-11,,1086.0,0.0,0.0
3471,3471,F32887,7033.0,E,4.0,2020-09-22 14:12:50.870,2020-09-22,2020-09-21 00:00:00,2020-09-22,,1370.6896000000002,0.0,0.0
3531,3531,F32947,5757.0,E,4.0,2020-09-29 16:40:19.933,2020-09-29,2020-09-30 00:00:00,2020-09-29,,1330.5363,0.0,0.0
3547,3547,F32963,3930.0,E,4.0,2020-09-30 13:21:53.053,2020-09-30,2020-09-28 00:00:00,2020-10-30,,28305.000000000004,0.0,0.0
